id,cat
195139,Physics
113407,Literature
111437,Social Studies
106072,Social Studies
196647,Fine Arts
121551,Literature
121571,Literature
196388,Social Studies
12361,Social Studies
8511,Biology
11584,Social Studies
112468,Literature
108851,Mathematics
123073,Physics
122777,Literature
106222,Social Studies
115908,Fine Arts
113377,Literature
123088,Literature
119489,Literature
111237,Literature
13085,Social Studies
12635,Social Studies
194318,Social Studies
106268,Fine Arts
100480,Other
103506,Social Studies
2120,History
122522,Social Studies
109541,Social Studies
10272,Physics
103787,Chemistry
111248,Social Studies
194474,Fine Arts
190525,Social Studies
101084,Fine Arts
115705,History
122153,Fine Arts
122179,Other
111425,Physics
119939,Fine Arts
123259,Fine Arts
123134,History
115946,Fine Arts
108041,Literature
118193,Literature
109605,Fine Arts
114207,Fine Arts
113605,Literature
116841,Literature
2653,History
101755,Literature
122758,Social Studies
120129,Chemistry
104377,Fine Arts
7204,Literature
191402,Social Studies
9451,Chemistry
3610,History
103042,Biology
114013,Literature
3759,Literature
123668,Literature
106873,Other
194046,Literature
1339,Fine Arts
192899,History
122072,Science
11902,Social Studies
101684,Literature
104851,Literature
118307,Social Studies
123239,Literature
107376,Fine Arts
195391,History
719,Fine Arts
114267,Fine Arts
121627,Physics
122908,Social Studies
3433,History
108542,Social Studies
100221,Other
119245,Physics
197878,History
5854,Literature
120592,Social Studies
11870,Social Studies
191533,Social Studies
5141,Literature
3184,History
195450,Physics
189312,Literature
10030,Mathematics
110299,Fine Arts
105639,Social Studies
101285,Physics
110822,Other
117372,Biology
4823,Literature
190151,Social Studies
194896,History
2823,History
195230,History
1743,History
119622,Literature
189707,Literature
363,Fine Arts
194417,Social Studies
197618,Literature
111041,Fine Arts
3469,History
120463,Literature
101008,Social Studies
3182,History
111650,Social Studies
111698,History
106027,Literature
105176,Social Studies
10777,Social Studies
100592,Other
112398,Literature
101420,Literature
8238,Biology
6812,Literature
9006,Chemistry
190286,Social Studies
105550,Fine Arts
112453,History
116529,History
100495,Literature
114686,Literature
118102,Physics
100733,Physics
117061,Literature
12850,Literature
4313,History
195915,History
198433,Literature
111013,Literature
112868,Literature
111241,History
192409,History
4543,Literature
106013,Chemistry
115764,Literature
197567,Social Studies
111892,Literature
111260,Literature
10643,Physics
123306,History
123330,History
105735,Literature
8520,Biology
10265,Physics
5921,Literature
7886,Other
111098,Social Studies
111461,Social Studies
551,Fine Arts
2095,History
120363,History
121827,History
197437,Science
1327,Fine Arts
196165,Fine Arts
2714,History
195613,Physics
6536,Literature
7284,Literature
110216,Fine Arts
189699,Social Studies
107998,Social Studies
121159,Literature
3080,History
6334,Literature
103938,Literature
115895,Fine Arts
105819,Physics
196270,Literature
101152,Physics
147,Fine Arts
4722,Literature
113747,Chemistry
193872,Mathematics
109672,History
104320,Literature
193705,History
122233,History
8740,Biology
122296,History
120505,Physics
5144,Literature
189263,Social Studies
111757,History
103013,Literature
11074,History
105811,Social Studies
123019,Social Studies
3608,Literature
194925,Literature
197025,Social Studies
109733,History
105850,History
5979,Literature
101674,Literature
111412,Other
193732,Social Studies
190803,Literature
4884,Literature
115451,Literature
119261,Social Studies
4090,History
107140,Literature
718,Fine Arts
191505,History
111057,Chemistry
108818,Other
121116,History
105080,Other
102886,Fine Arts
11851,Literature
192643,Literature
6029,Literature
10018,Mathematics
106219,Mathematics
103948,History
111966,Fine Arts
7266,Literature
103444,Literature
4602,Literature
6664,Literature
1300,Fine Arts
197357,Literature
117606,Biology
115126,History
192379,History
195046,Physics
116086,Chemistry
2009,History
12774,Literature
113243,Literature
2983,History
110631,Fine Arts
115198,History
104501,Social Studies
